id_department,department_name,terrain_area,old_antenna,new_antenna_type
16,Guaviare,1660200,24,e
3,Arauca,1131600,17,a
17,Huila,1258200,0,a
5,Bolivar,1041200,1,e
3,Arauca,1498400,23,e
23,Putumayo,436600,10,e
26,San Andres y Providencia,1049400,9,d
25,Risaralda,1465000,26,b
7,Caldas,1198400,30,e
28,Sucre,586800,18,b
27,Santander,197200,22,a
7,Caldas,1711000,12,d
4,Atlantico,483600,23,c
8,Caqueta,821000,14,b
29,Tolima,1070400,24,e
20,Meta,693600,11,e
19,Magdalena,1114200,30,b
20,Meta,1683400,13,e
8,Caqueta,787000,26,a
16,Guaviare,561200,0,b
31,Vaupes,1867800,28,e
25,Risaralda,1865600,14,a
27,Santander,865000,29,c
1,Amazonas,1293800,6,e
18,La Guajira,113000,8,e
14,Cundinamarca,1677000,24,e
26,San Andres y Providencia,121400,18,c
13,Cordoba,833600,9,e
31,Vaupes,1427800,22,a
20,Meta,535800,30,c
25,Risaralda,1899200,22,a
17,Huila,1005600,29,d
20,Meta,493800,25,c
26,San Andres y Providencia,1669000,3,a
2,Antioquia,788800,4,a
20,Meta,340000,6,a
23,Putumayo,749200,29,d
24,Quindio,1448200,30,d
7,Caldas,1959000,21,b
6,Boyaca,917800,15,a
20,Meta,1441600,25,b
21,Narino,604200,27,a
15,Guainia,818000,25,d
22,Norte de Santander,1396600,12,e
7,Caldas,366600,27,d
9,Casanare,218000,16,b
29,Tolima,129200,30,c
8,Caqueta,445200,17,d
3,Arauca,1252400,7,c
1,Amazonas,730200,29,b
8,Caqueta,449200,24,c
6,Boyaca,1828400,3,a
15,Guainia,1644400,11,d
5,Bolivar,1083800,16,c
19,Magdalena,865400,24,a
24,Quindio,1300800,3,c
23,Putumayo,1711000,20,b
25,Risaralda,727400,6,b
17,Huila,163600,19,d
16,Guaviare,25200,0,d
23,Putumayo,1777000,1,a
14,Cundinamarca,560400,2,b
10,Cauca,1293200,30,d
32,Vichada,1176600,22,e
30,Valle del Cauca,1746800,14,d
13,Cordoba,913200,28,a
14,Cundinamarca,1453000,10,b
5,Bolivar,473400,17,e
25,Risaralda,678800,6,b
23,Putumayo,144600,14,d
27,Santander,1416000,4,a
14,Cundinamarca,543200,2,e
13,Cordoba,12200,5,c
15,Guainia,1687000,11,d
11,Cesar,106000,23,d
31,Vaupes,566800,13,e
31,Vaupes,1008800,10,a
5,Bolivar,1090800,11,e
27,Santander,306400,8,e
12,Choco,1561000,4,b
19,Magdalena,682600,4,b
25,Risaralda,546200,15,a
18,La Guajira,1163400,18,e
8,Caqueta,1101400,15,c
23,Putumayo,841800,15,a
25,Risaralda,1102400,18,b
3,Arauca,679000,7,e
24,Quindio,185200,22,e
29,Tolima,1433000,7,b
18,La Guajira,837200,11,c
4,Atlantico,1895800,2,a
29,Tolima,642000,3,d
1,Amazonas,867600,14,a
2,Antioquia,1038600,8,b
27,Santander,496800,28,c
11,Cesar,397600,6,b
22,Norte de Santander,854600,26,d
16,Guaviare,846800,17,e
5,Bolivar,927200,11,a
22,Norte de Santander,1490400,14,e
20,Meta,1514000,15,d
7,Caldas,1375400,3,c
20,Meta,150600,20,a
8,Caqueta,245800,21,b
11,Cesar,616600,5,e
14,Cundinamarca,1237400,23,a
17,Huila,1453000,0,a
18,La Guajira,1222800,21,a
18,La Guajira,1851600,14,a
21,Narino,848000,18,b
23,Putumayo,1526600,13,b
15,Guainia,569800,26,d
12,Choco,1253600,5,d
10,Cauca,1066000,3,d
6,Boyaca,878600,23,b
3,Arauca,29400,27,c
28,Sucre,25800,6,d
1,Amazonas,620800,28,d
28,Sucre,1656800,23,d
22,Norte de Santander,1855800,13,b
17,Huila,847000,18,b
21,Narino,763600,7,c
23,Putumayo,106400,26,c
21,Narino,1411000,25,a
22,Norte de Santander,1913400,2,e
12,Choco,1897200,28,b
21,Narino,377400,6,c
28,Sucre,680200,3,a
7,Caldas,709400,0,a
6,Boyaca,1257400,15,a
28,Sucre,1399200,18,a
19,Magdalena,1297600,3,b
12,Choco,1075000,14,d
2,Antioquia,1434800,29,e
7,Caldas,1772600,13,c
25,Risaralda,486200,26,e
5,Bolivar,140000,17,a
11,Cesar,1515800,28,a
29,Tolima,416200,14,c
32,Vichada,1206000,1,d
3,Arauca,1569400,4,b
5,Bolivar,1130600,7,c
19,Magdalena,343800,23,e
27,Santander,1780200,28,a
7,Caldas,1738400,22,d
15,Guainia,515200,26,b
18,La Guajira,243400,24,d
23,Putumayo,689800,18,b
12,Choco,1617800,25,a
30,Valle del Cauca,1431000,12,d
7,Caldas,518800,17,a
25,Risaralda,174200,24,e
10,Cauca,975200,30,c
27,Santander,357200,19,b
10,Cauca,1203800,5,a
18,La Guajira,924000,7,a
5,Bolivar,407000,20,c
25,Risaralda,1430200,1,e
18,La Guajira,1154800,23,e
14,Cundinamarca,1558200,7,e
5,Bolivar,336200,21,b
11,Cesar,1287600,11,b
31,Vaupes,1876600,3,d
3,Arauca,1577200,20,a
29,Tolima,25000,29,c
12,Choco,702000,15,a
31,Vaupes,792000,11,b
6,Boyaca,675800,29,b
23,Putumayo,1949600,10,b
26,San Andres y Providencia,1374800,4,b
23,Putumayo,1934600,15,b
28,Sucre,75800,7,a
11,Cesar,1626600,3,e
22,Norte de Santander,1753800,7,c
12,Choco,945200,30,d
2,Antioquia,218400,4,c
27,Santander,1321400,17,b
12,Choco,295000,19,a
8,Caqueta,1932800,30,c
17,Huila,1979000,7,c
3,Arauca,1770000,30,b
2,Antioquia,67400,12,d
18,La Guajira,1631200,12,c
12,Choco,1162400,11,a
14,Cundinamarca,982000,2,e
9,Casanare,1142400,17,b
14,Cundinamarca,1370400,14,d
19,Magdalena,649200,1,c
18,La Guajira,1199400,27,a
7,Caldas,167000,7,e
9,Casanare,94800,5,d
5,Bolivar,1084400,20,b
9,Casanare,1461600,22,c
21,Narino,1177000,26,e
11,Cesar,1017200,26,d
15,Guainia,684000,3,a
28,Sucre,374400,26,a
32,Vichada,485400,0,b
11,Cesar,1384200,21,e
7,Caldas,834600,0,d
3,Arauca,1009000,22,e
9,Casanare,1344600,18,a
16,Guaviare,517200,14,b
3,Arauca,1629600,23,b
3,Arauca,49400,4,b
30,Valle del Cauca,1482400,2,c
31,Vaupes,87200,16,c
18,La Guajira,1334800,23,c
13,Cordoba,600800,13,e
31,Vaupes,39800,16,c
13,Cordoba,879200,7,b
18,La Guajira,1453400,26,a
16,Guaviare,199000,14,c
13,Cordoba,275200,27,c
22,Norte de Santander,611400,14,d
17,Huila,719400,18,b
18,La Guajira,1824800,18,c
6,Boyaca,589600,10,c
4,Atlantico,1032600,15,c
10,Cauca,920000,3,c
7,Caldas,1360800,0,b
30,Valle del Cauca,506600,21,a
2,Antioquia,281000,25,d
26,San Andres y Providencia,1058200,30,b
29,Tolima,1678000,2,c
13,Cordoba,159200,9,e
1,Amazonas,913200,22,d
9,Casanare,70000,14,e
29,Tolima,1013200,26,c
4,Atlantico,1851800,23,b
15,Guainia,392800,22,a
3,Arauca,200600,19,c
11,Cesar,8000,6,d
17,Huila,589200,13,a
9,Casanare,1255200,4,d
1,Amazonas,408000,20,d
26,San Andres y Providencia,503400,15,b
6,Boyaca,866400,22,d
10,Cauca,187400,11,e
32,Vichada,1670800,22,c
5,Bolivar,453800,2,d
29,Tolima,372800,27,c
16,Guaviare,521400,26,b
18,La Guajira,1008400,10,e
25,Risaralda,722000,26,d
2,Antioquia,1955800,16,b
3,Arauca,1705600,8,d
15,Guainia,1973800,2,e
9,Casanare,1590800,12,d
32,Vichada,467000,25,e
20,Meta,138600,16,a
1,Amazonas,133000,14,d
28,Sucre,620200,9,e
23,Putumayo,96800,27,d
10,Cauca,440800,2,b
15,Guainia,1999400,27,a
14,Cundinamarca,1864000,30,c
12,Choco,1068600,0,b
11,Cesar,258400,12,c
5,Bolivar,881600,24,e
26,San Andres y Providencia,1234800,3,d
11,Cesar,1430200,30,c
25,Risaralda,1893400,2,c
6,Boyaca,370000,0,b
31,Vaupes,1498200,5,a
20,Meta,1637200,26,e
15,Guainia,615800,30,b
17,Huila,1302800,25,a
31,Vaupes,697400,2,c
20,Meta,1283400,2,c
21,Narino,780600,17,a
17,Huila,1547800,10,e
19,Magdalena,1767000,4,e
18,La Guajira,1799600,9,e
18,La Guajira,1739400,17,d
7,Caldas,568400,6,c
11,Cesar,948000,4,d
23,Putumayo,193800,3,c
8,Caqueta,1958000,20,d
7,Caldas,1033400,30,d
16,Guaviare,1155800,3,e
15,Guainia,1388400,5,c
3,Arauca,108200,21,a
25,Risaralda,476800,24,d
29,Tolima,804600,2,a
15,Guainia,1338600,4,a
15,Guainia,903200,25,b
22,Norte de Santander,946200,8,c
23,Putumayo,1933800,23,b
10,Cauca,1206200,4,c
19,Magdalena,1376600,23,e
19,Magdalena,551000,14,d
4,Atlantico,750600,25,b
8,Caqueta,510200,10,c
24,Quindio,458400,24,d
7,Caldas,1992400,16,a
32,Vichada,649200,20,c
25,Risaralda,1935800,29,b
23,Putumayo,212600,15,a
11,Cesar,879000,16,b
20,Meta,435600,17,b
25,Risaralda,1005600,19,e
22,Norte de Santander,878400,22,d
12,Choco,1843000,12,e
8,Caqueta,275800,30,a
27,Santander,1115600,19,a
1,Amazonas,1267600,4,d
23,Putumayo,1349400,1,e
20,Meta,582400,4,a
1,Amazonas,1779400,10,a
30,Valle del Cauca,1501400,28,d
28,Sucre,214600,3,a
24,Quindio,1290400,30,e
12,Choco,160400,1,c
28,Sucre,371400,7,c
3,Arauca,3800,29,e
26,San Andres y Providencia,733000,21,a
1,Amazonas,304000,20,a
30,Valle del Cauca,1966400,15,a
15,Guainia,1720400,13,e
11,Cesar,136000,8,d
27,Santander,1964200,16,d
12,Choco,639800,6,c
6,Boyaca,1058400,13,b
8,Caqueta,1431800,18,c
1,Amazonas,663400,13,d
17,Huila,1386600,10,d
19,Magdalena,623200,3,c
4,Atlantico,587200,8,d
12,Choco,1196200,25,b
32,Vichada,943400,22,b
18,La Guajira,1722200,19,c
24,Quindio,742600,7,e
22,Norte de Santander,1216000,2,a
14,Cundinamarca,622400,11,c
9,Casanare,1922800,5,c
25,Risaralda,761000,8,d
18,La Guajira,1737600,11,a
24,Quindio,728800,29,c
32,Vichada,1852600,2,c
17,Huila,53000,13,e
17,Huila,1146800,4,c
26,San Andres y Providencia,476600,6,d
21,Narino,822000,23,b
1,Amazonas,993600,19,d
12,Choco,547000,10,c
21,Narino,1644600,20,a
21,Narino,187600,12,a
8,Caqueta,1105600,16,a
25,Risaralda,1118800,25,d
30,Valle del Cauca,1628800,16,d
6,Boyaca,226600,5,e
30,Valle del Cauca,1291800,2,a
5,Bolivar,835600,19,b
11,Cesar,1934400,5,a
23,Putumayo,1502000,6,c
25,Risaralda,811400,14,d
25,Risaralda,854200,9,a
11,Cesar,522600,24,c
25,Risaralda,872600,2,c
29,Tolima,104800,15,c
16,Guaviare,255000,14,e
22,Norte de Santander,1218600,1,d
4,Atlantico,466400,4,a
3,Arauca,1430200,20,a
12,Choco,775400,11,a
6,Boyaca,620800,1,d
9,Casanare,606400,27,a
24,Quindio,836400,13,c
21,Narino,1341000,0,c
9,Casanare,789200,19,a
3,Arauca,1436200,22,b
8,Caqueta,1868800,1,c
16,Guaviare,1110600,12,d
2,Antioquia,530200,25,e
28,Sucre,292400,22,d
31,Vaupes,485600,6,e
9,Casanare,663400,28,a
16,Guaviare,835200,16,d
11,Cesar,1986000,6,c
23,Putumayo,1550400,3,b
30,Valle del Cauca,1948800,29,d
18,La Guajira,1920200,8,e
11,Cesar,1934200,13,a
9,Casanare,716800,30,b
1,Amazonas,770600,11,a
23,Putumayo,874000,21,b
32,Vichada,945800,20,d
19,Magdalena,1520600,23,a
31,Vaupes,364800,26,a
3,Arauca,1293600,23,a
18,La Guajira,529400,2,a
2,Antioquia,1511400,27,a
32,Vichada,1408600,27,b
23,Putumayo,1803000,23,c
31,Vaupes,1097600,18,c
32,Vichada,707400,9,b
24,Quindio,1443600,6,c
19,Magdalena,1084000,0,a
3,Arauca,1395800,9,c
6,Boyaca,240200,28,c
10,Cauca,1440200,13,a
29,Tolima,1558800,9,b
5,Bolivar,862000,12,d
28,Sucre,1704600,15,a
11,Cesar,1184600,24,c
25,Risaralda,1735200,11,c
9,Casanare,1682400,10,e
22,Norte de Santander,268000,0,b
13,Cordoba,841800,7,d
5,Bolivar,237600,17,b
29,Tolima,1955400,30,d
1,Amazonas,1250800,8,b
26,San Andres y Providencia,1418200,28,c
18,La Guajira,551000,19,c
4,Atlantico,285200,5,e
18,La Guajira,233800,21,e
18,La Guajira,1798400,18,e
1,Amazonas,372800,24,e
25,Risaralda,1365200,26,d
17,Huila,1981400,30,a
32,Vichada,891600,29,c
14,Cundinamarca,752600,20,e
25,Risaralda,44600,18,a
22,Norte de Santander,1913400,3,c
11,Cesar,1664200,8,d
2,Antioquia,1277600,16,b
18,La Guajira,525000,30,b
16,Guaviare,431200,30,b
2,Antioquia,1481800,10,a
28,Sucre,280000,23,e
26,San Andres y Providencia,492000,4,a
26,San Andres y Providencia,882000,21,e
9,Casanare,1999000,30,e
25,Risaralda,914400,20,d
9,Casanare,1889200,17,c
29,Tolima,1358000,26,d
3,Arauca,1999000,29,e
32,Vichada,1303200,20,c
1,Amazonas,699400,14,a
5,Bolivar,917000,23,c
24,Quindio,848000,16,e
8,Caqueta,21200,16,e
5,Bolivar,177600,7,a
32,Vichada,1953400,27,d
11,Cesar,24000,7,d
19,Magdalena,1153800,9,a
17,Huila,419800,2,c
16,Guaviare,1761000,20,e
28,Sucre,1920800,12,d
27,Santander,1587200,6,d
4,Atlantico,1393600,12,c
1,Amazonas,814600,22,b
20,Meta,1880200,19,d
25,Risaralda,745400,18,c
12,Choco,1124200,9,c
16,Guaviare,504400,4,b
17,Huila,77200,1,b
20,Meta,389800,7,e
29,Tolima,1460800,6,b
15,Guainia,1027200,14,b
12,Choco,1148000,29,b
17,Huila,126200,12,a
16,Guaviare,980600,10,e
25,Risaralda,1943000,29,e
1,Amazonas,801200,15,b
26,San Andres y Providencia,1133600,5,a
2,Antioquia,1251800,18,c
11,Cesar,831600,9,d
17,Huila,1212400,17,a
25,Risaralda,213000,18,b
21,Narino,724600,27,d
4,Atlantico,1903400,7,d
20,Meta,165800,18,c
2,Antioquia,678800,23,a
32,Vichada,1270200,26,c
32,Vichada,1878000,29,c
11,Cesar,700800,21,b
6,Boyaca,416200,7,a
8,Caqueta,1007400,15,c
4,Atlantico,1471400,21,e
12,Choco,145200,0,d
5,Bolivar,1405400,25,a
29,Tolima,1476400,23,b
1,Amazonas,359400,17,d
3,Arauca,14000,17,d
22,Norte de Santander,1763400,26,a
8,Caqueta,626600,24,c
31,Vaupes,1879400,25,b
31,Vaupes,635200,26,c
22,Norte de Santander,1073400,9,a
4,Atlantico,440800,28,e
17,Huila,147000,23,c
19,Magdalena,1286600,30,e
26,San Andres y Providencia,1064200,18,a
4,Atlantico,1741000,29,b
31,Vaupes,1341800,4,d
14,Cundinamarca,1278200,29,d
2,Antioquia,1157800,15,c
23,Putumayo,859800,24,b
32,Vichada,1604200,2,e
32,Vichada,266600,17,e
23,Putumayo,78400,3,d
17,Huila,28400,30,c
21,Narino,982400,21,c
6,Boyaca,805800,6,d
6,Boyaca,1752000,9,e
21,Narino,730800,4,e
13,Cordoba,1124800,21,b
9,Casanare,432600,28,b
28,Sucre,1218800,18,d
24,Quindio,1684400,26,d
16,Guaviare,952200,5,b
7,Caldas,879000,30,a
29,Tolima,189600,18,e
22,Norte de Santander,460600,29,e
4,Atlantico,722000,10,b
26,San Andres y Providencia,23400,6,a
30,Valle del Cauca,645200,15,e
11,Cesar,662400,29,d
29,Tolima,725600,1,b
2,Antioquia,192400,23,c
2,Antioquia,1251600,26,b
11,Cesar,860400,14,b
20,Meta,225800,3,c
11,Cesar,804400,15,a
10,Cauca,1218600,26,e
15,Guainia,274600,10,e
1,Amazonas,438600,16,a
9,Casanare,1130200,6,e
28,Sucre,269200,1,e
26,San Andres y Providencia,526800,10,b
17,Huila,395200,1,a
3,Arauca,1017000,6,a
4,Atlantico,474600,19,d
23,Putumayo,1346200,27,a
28,Sucre,1291000,24,d
21,Narino,319400,28,d
2,Antioquia,377400,17,c
16,Guaviare,773400,3,b
16,Guaviare,642000,10,d
1,Amazonas,509200,14,d
32,Vichada,1233000,13,a
17,Huila,373400,30,d
28,Sucre,905400,6,e
6,Boyaca,471600,15,b
4,Atlantico,1212400,4,a
18,La Guajira,1798400,23,e
14,Cundinamarca,1311000,28,a
26,San Andres y Providencia,327200,18,e
10,Cauca,1228600,29,a
11,Cesar,646800,7,c
8,Caqueta,1248200,14,b
17,Huila,423600,2,a
5,Bolivar,908600,1,a
32,Vichada,828000,5,c
8,Caqueta,1443800,19,a
4,Atlantico,1118000,2,c
16,Guaviare,1507400,21,d
10,Cauca,1919200,24,b
7,Caldas,846600,25,c
32,Vichada,285200,23,e
13,Cordoba,1203800,4,c
23,Putumayo,1715200,21,c
7,Caldas,794200,28,e
4,Atlantico,430600,26,e
20,Meta,1388600,9,b
29,Tolima,1616000,9,e
24,Quindio,26600,19,d
24,Quindio,1191400,3,c
16,Guaviare,426600,16,c
11,Cesar,37200,10,e
24,Quindio,672600,19,b
11,Cesar,799200,1,e
23,Putumayo,1339800,17,a
31,Vaupes,1402200,2,b
3,Arauca,864200,30,e
24,Quindio,694200,3,e
2,Antioquia,533600,23,a
25,Risaralda,644800,5,b
7,Caldas,1926200,8,d
22,Norte de Santander,517800,17,b
15,Guainia,190000,15,d
16,Guaviare,101600,11,d
22,Norte de Santander,387400,11,c
26,San Andres y Providencia,168800,3,e
6,Boyaca,1084000,30,d
23,Putumayo,780000,12,d
5,Bolivar,999600,1,a
30,Valle del Cauca,885800,3,b
18,La Guajira,201000,15,b
23,Putumayo,64800,15,b
16,Guaviare,1384600,8,d
21,Narino,74200,13,b
8,Caqueta,1039200,13,d
18,La Guajira,509800,24,c
26,San Andres y Providencia,1800200,0,e
10,Cauca,1809800,2,c
7,Caldas,1814000,7,b
20,Meta,1084200,3,c
12,Choco,1968600,2,e
29,Tolima,683200,27,a
21,Narino,1127200,7,d
29,Tolima,318800,26,a
18,La Guajira,3200,21,b
28,Sucre,1179000,21,b
23,Putumayo,1756200,20,b
4,Atlantico,1512200,18,c
22,Norte de Santander,295800,18,b
29,Tolima,1750000,26,c
6,Boyaca,1855000,17,c
19,Magdalena,1808200,18,c
20,Meta,1651200,25,a
9,Casanare,1311400,8,d
17,Huila,911200,11,c
25,Risaralda,821800,15,e
21,Narino,809200,14,a
19,Magdalena,1606200,13,e
7,Caldas,1271000,22,b
21,Narino,1114000,10,e
16,Guaviare,990200,12,e
22,Norte de Santander,1062000,10,e
2,Antioquia,857800,6,e
10,Cauca,246800,6,a
31,Vaupes,432800,22,e
29,Tolima,147600,10,e
26,San Andres y Providencia,118200,26,b
3,Arauca,447200,19,e
28,Sucre,473000,15,a
4,Atlantico,1562800,23,a
5,Bolivar,1295200,1,e
14,Cundinamarca,1897200,0,e
4,Atlantico,1768600,22,d
6,Boyaca,1050400,18,d
4,Atlantico,280800,4,c
4,Atlantico,407000,16,b
30,Valle del Cauca,582200,15,a
22,Norte de Santander,870600,11,c
32,Vichada,13000,28,b
2,Antioquia,1511600,10,b
4,Atlantico,87400,0,b
15,Guainia,747400,25,d
10,Cauca,80000,19,e
28,Sucre,1715800,21,d
22,Norte de Santander,223200,27,a
10,Cauca,1061200,22,a
8,Caqueta,345200,18,c
11,Cesar,1317400,19,c
28,Sucre,1909400,9,e
13,Cordoba,1563200,4,a
15,Guainia,1263000,8,a
30,Valle del Cauca,1627200,20,c
28,Sucre,1561800,13,c
1,Amazonas,1812000,1,c
3,Arauca,1058200,13,a
20,Meta,1157400,17,b
10,Cauca,1432800,30,c
25,Risaralda,736000,17,c
12,Choco,598400,12,c
14,Cundinamarca,1321800,28,b
24,Quindio,1367000,20,c
7,Caldas,1162400,1,c
5,Bolivar,475800,16,e
11,Cesar,1018400,13,c
29,Tolima,1146200,22,a
21,Narino,688400,11,e
10,Cauca,830000,24,e
25,Risaralda,65400,9,d
30,Valle del Cauca,71000,15,c
16,Guaviare,1643800,8,e
5,Bolivar,520000,8,c
11,Cesar,1955200,2,d
20,Meta,1650600,5,b
30,Valle del Cauca,651600,3,c
12,Choco,1591800,17,e
12,Choco,1057400,6,b
32,Vichada,1122800,25,c
6,Boyaca,1152200,3,e
13,Cordoba,1051400,4,c
4,Atlantico,1027200,26,e
12,Choco,462000,19,b
12,Choco,1635000,29,c
19,Magdalena,782800,22,b
14,Cundinamarca,1671200,9,d
15,Guainia,722800,4,b
10,Cauca,850600,4,a
28,Sucre,55200,3,b
2,Antioquia,1368200,25,b
29,Tolima,534200,16,d
8,Caqueta,142600,25,e
4,Atlantico,1620800,29,b
24,Quindio,560000,1,b
5,Bolivar,1184600,27,a
4,Atlantico,1097200,7,b
1,Amazonas,868200,14,d
18,La Guajira,134600,0,b
18,La Guajira,1536000,3,b
20,Meta,1103600,16,d
11,Cesar,1350000,11,c
19,Magdalena,1254000,2,c
24,Quindio,471600,13,c
21,Narino,133800,21,b
16,Guaviare,39400,24,b
23,Putumayo,966400,18,c
24,Quindio,1011200,30,b
9,Casanare,940200,29,b
30,Valle del Cauca,1251400,6,b
1,Amazonas,1616600,8,b
15,Guainia,405800,28,c
10,Cauca,924000,6,c
11,Cesar,1731200,4,e
23,Putumayo,769000,9,b
11,Cesar,610800,19,c
21,Narino,1324200,26,a
5,Bolivar,1000200,28,b
14,Cundinamarca,455800,5,b
29,Tolima,1503000,15,d
1,Amazonas,1490400,13,c
10,Cauca,1520400,28,b
9,Casanare,1074200,4,c
14,Cundinamarca,911800,28,d
27,Santander,1284800,11,a
25,Risaralda,1958600,15,d
3,Arauca,377200,30,e
15,Guainia,1876400,0,d
23,Putumayo,1312600,25,b
19,Magdalena,1088000,11,e
16,Guaviare,546400,9,b
2,Antioquia,1199600,24,b
16,Guaviare,28800,20,d
17,Huila,658600,4,c
7,Caldas,743400,11,b
20,Meta,586400,13,e
13,Cordoba,1114400,9,e
4,Atlantico,1016200,21,c
32,Vichada,1234200,3,a
7,Caldas,867400,12,e
27,Santander,516800,12,a
5,Bolivar,23000,5,e
6,Boyaca,942400,13,c
21,Narino,509200,11,a
2,Antioquia,487400,18,b
27,Santander,1125400,8,c
18,La Guajira,1549600,17,e
22,Norte de Santander,449800,2,a
31,Vaupes,1254200,29,c
13,Cordoba,1268600,27,d
13,Cordoba,1209800,4,e
24,Quindio,1672600,2,c
20,Meta,618800,29,e
19,Magdalena,1071200,29,c
23,Putumayo,1791800,1,e
2,Antioquia,540200,19,e
10,Cauca,558000,18,c
18,La Guajira,1428000,20,c
7,Caldas,943600,15,b
8,Caqueta,391000,22,b
29,Tolima,1087000,9,a
20,Meta,1628800,25,e
14,Cundinamarca,1812800,21,d
26,San Andres y Providencia,1313800,8,c
29,Tolima,877200,13,b
16,Guaviare,620800,26,a
18,La Guajira,1943400,19,b
15,Guainia,992000,27,d
19,Magdalena,535400,3,c
9,Casanare,1174200,13,d
28,Sucre,1484800,7,b
2,Antioquia,993600,30,a
1,Amazonas,932800,18,e
14,Cundinamarca,1497200,5,a
10,Cauca,1958600,15,e
32,Vichada,1747000,19,c
27,Santander,1910800,28,e
9,Casanare,1802000,17,a
14,Cundinamarca,1589400,16,b
31,Vaupes,646400,18,c
